1.830292610000e-01 -9.027468096000e-03 227
1.931532866000e-01 5.023121942000e-03 228
1.883110929000e-01 4.548930045000e-05 229
1.905768001000e-01 -9.911894435000e-03 230
1.835146918000e-01 1.888397396000e-03 231
1.917273319000e-01 1.689451833000e-03 232
2.040014229000e-01 -5.485076123000e-03 233
1.920652984000e-01 -2.169155001000e-03 234
1.932460662000e-01 1.968371697000e-03 235
1.789624670000e-01 -6.731427112000e-03 236
1.985433964000e-01 -7.453473399000e-04 237
1.804010645000e-01 -1.151404480000e-02 238
1.954653834000e-01 -7.520771417000e-03 239
1.926235377000e-01 -1.013033919000e-03 240
1.999273904000e-01 3.300242638000e-03 241
1.871135863000e-01 -2.813837756000e-03 242
1.837025219000e-01 8.708472291000e-03 243
1.888420833000e-01 7.348305188000e-03 244
1.890249879000e-01 -6.142050387000e-03 245
1.793436742000e-01 1.896782807000e-03 246
1.874873824000e-01 2.424587557000e-03 247
1.809293743000e-01 -7.607150613000e-03 248
1.807712361000e-01 -4.092197843000e-03 249
1.948874194000e-01 -5.433594332000e-03 250
1.782879860000e-01 1.847352267000e-03 251
1.788850723000e-01 -2.800031198000e-04 252
1.674960416000e-01 -9.057160185000e-04 253
1.758897100000e-01 5.483202577000e-03 254
1.654032771000e-01 1.433676424000e-03 255
1.591765066000e-01 3.023511306000e-03 256
1.579000787000e-01 -5.865754808000e-03 257
1.521694244000e-01 2.869855232000e-03 258
1.516637084000e-01 2.213119113000e-03 259
1.679656236000e-01 3.627549591000e-04 260
1.760896470000e-01 -3.571925579000e-03 261
1.945082710000e-01 -2.404244155000e-03 262
1.809574152000e-01 8.256911864000e-03 263
1.639023567000e-01 3.243012669000e-03 264
1.581457881000e-01 1.374076443000e-04 265
1.603116543000e-01 -6.510707711000e-03 266
1.661291035000e-01 3.393802435000e-03 267
1.748442995000e-01 2.051463990000e-03 268
1.685132038000e-01 -5.972851973000e-04 269
1.820332788000e-01 3.261556196000e-03 270
1.930312277000e-01 4.124782240000e-03 271
1.970322010000e-01 -3.990258912000e-03 272
1.948508454000e-01 -2.556604604000e-03 273
1.915588375000e-01 1.823423353000e-03 274
2.026385072000e-01 3.331817809000e-03 275
1.937855643000e-01 2.547114369000e-03 276
2.111047631000e-01 -1.169827288000e-03 277
2.078120507000e-01 4.211313438000e-03 278
1.901369111000e-01 1.295543327000e-02 279
2.096575872000e-01 2.612416889000e-03 280
2.032228112000e-01 -3.258128101000e-03 281
1.979427798000e-01 -3.050237089000e-04 282
1.955718933000e-01 6.697474633000e-03 283
2.220246709000e-01 -2.640612500000e-03 284
2.095486502000e-01 -7.287579682000e-03 285
2.059250013000e-01 6.866065894000e-04 286
2.001899337000e-01 -4.115722963000e-03 287
1.915161864000e-01 4.192892887000e-03 288
1.891983715000e-01 7.194121930000e-03 289
1.837023480000e-01 -2.044969460000e-03 290
1.977394499000e-01 5.662997136000e-03 291
1.784977380000e-01 5.729569381000e-03 292
2.034175574000e-01 7.695191251000e-04 293
1.860705695000e-01 2.351907762000e-03 294
2.070282834000e-01 -1.489989801000e-03 295
1.906411854000e-01 7.331562333000e-03 296
1.962201041000e-01 3.792738940000e-03 297
1.874248630000e-01 1.425984014000e-03 298
1.972466552000e-01 -2.497518174000e-04 299
1.749788387000e-01 9.346522534000e-04 300
1.799515139000e-01 -9.050637294000e-04 301
1.860287822000e-01 -8.433585434000e-04 302
1.783316231000e-01 -6.958269828000e-03 303
1.904923429000e-01 -3.109131217000e-03 304
2.031479526000e-01 -6.818558409000e-04 305
2.055525067000e-01 -5.216018202000e-03 306
2.021159328000e-01 -7.434003785000e-03 307
2.199941038000e-01 2.454096767000e-04 308
2.106525516000e-01 -6.358081016000e-04 309
2.027094237000e-01 -7.537135703000e-04 310
1.934568556000e-01 2.990724786000e-03 311
2.110465582000e-01 -3.421867495000e-03 312
1.904199172000e-01 -4.005468151000e-03 313
2.018527859000e-01 1.384523961000e-04 314
2.047150647000e-01 -2.145667749000e-03 315
2.073759019000e-01 -1.972222901000e-03 316
1.977044532000e-01 -1.418242863000e-03 317
1.947652264000e-01 -7.655156418000e-03 318
2.012582842000e-01 -3.072397598000e-04 319
2.196663970000e-01 2.502320889000e-03 320
1.920964312000e-01 -9.177612434000e-03 321
1.796003015000e-01 5.430662074000e-03 322
1.929146111000e-01 3.096631636000e-03 323
2.086351234000e-01 -6.092626330000e-05 324
2.021856824000e-01 2.930449366000e-04 325
1.879550525000e-01 6.851278587000e-03 326
2.007364427000e-01 -1.629315832000e-05 327
1.931694680000e-01 -4.162538083000e-04 328
1.745891491000e-01 3.230410863000e-03 329
1.780524918000e-01 6.121032172000e-03 330
1.877813492000e-01 -3.717151736000e-03 331
1.761697251000e-01 4.564689005000e-03 332
